FIPS,State,State Code,County,Metro Area,Year,Median Rent,Efficiency,1BR,2BR,3BR,4BR,Entity ID,Note
13159,Georgia,GA,Jasper County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
13217,Georgia,GA,Newton County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
13221,Georgia,GA,Oglethorpe County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
13223,Georgia,GA,Paulding County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
13227,Georgia,GA,Pickens County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
13231,Georgia,GA,Pike County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
13247,Georgia,GA,Rockdale County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
13255,Georgia,GA,Spalding County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
13297,Georgia,GA,Walton County,Georgia Non-Metro,2023,840,649,704,840,1084,1258,1399999999,Estimated from state non-metro area rates
15003,Hawaii,HI,Honolulu County,Hawaii Non-Metro,2023,1875,1449,1571,1875,2419,2807,1599999999,Estimated from state non-metro area rates
16071,Idaho,ID,Oneida County,Idaho Non-Metro,2023,840,649,704,840,1084,1258,1699999999,Estimated from state non-metro area rates
17031,Illinois,IL,Cook County,Illinois Non-Metro,2023,840,649,704,840,1084,1258,1799999999,Estimated from state non-metro area rates
17043,Illinois,IL,DuPage County,Illinois Non-Metro,2023,840,649,704,840,1084,1258,1799999999,Estimated from state non-metro area rates
17089,Illinois,IL,Kane County,Illinois Non-Metro,2023,840,649,704,840,1084,1258,1799999999,Estimated from state non-metro area rates
