FIPS,County,State,Median Home Value,% of National Median,Price Category
34013,"Essex County","New Jersey",494400,286.9,Very Expensive
13117,"Forsyth County","Georgia",493800,286.6,Very Expensive
08045,"Garfield County","Colorado",490600,284.7,Very Expensive
51157,"Rappahannock County","Virginia",490200,284.5,Very Expensive
48259,"Kendall County","Texas",489800,284.3,Very Expensive
08093,"Park County","Colorado",489300,284.0,Very Expensive
49049,"Utah County","Utah",489200,283.9,Very Expensive
34039,"Union County","New Jersey",488800,283.7,Very Expensive
53011,"Clark County","Washington",487900,283.2,Very Expensive
48453,"Travis County","Texas",487600,283.0,Very Expensive
12021,"Collier County","Florida",486800,282.5,Very Expensive
15001,"Hawaii County","Hawaii",486400,282.3,Very Expensive
53057,"Skagit County","Washington",486200,282.2,Very Expensive
06045,"Mendocino County","California",486000,282.1,Very Expensive
49035,"Salt Lake County","Utah",484500,281.2,Very Expensive
53053,"Pierce County","Washington",484400,281.1,Very Expensive
51075,"Goochland County","Virginia",483700,280.7,Very Expensive
41003,"Benton County","Oregon",481700,279.6,Very Expensive
49019,"Grand County","Utah",480900,279.1,Very Expensive
16001,"Ada County","Idaho",476000,276.3,Very Expensive
06071,"San Bernardino County","California",475000,275.7,Very Expensive
53059,"Skamania County","Washington",472600,274.3,Very Expensive
51003,"Albemarle County","Virginia",471000,273.4,Very Expensive
49011,"Davis County","Utah",470500,273.1,Very Expensive
44009,"Washington County","Rhode Island",469800,272.7,Very Expensive
44001,"Bristol County","Rhode Island",468000,271.6,Very Expensive
30029,"Flathead County","Montana",467700,271.4,Very Expensive
16055,"Kootenai County","Idaho",467400,271.3,Very Expensive
06003,"Alpine County","California",466100,270.5,Very Expensive
49053,"Washington County","Utah",465600,270.2,Very Expensive
42029,"Chester County","Pennsylvania",461800,268.0,Very Expensive
51630,"Fredericksburg city","Virginia",461500,267.8,Very Expensive
33015,"Rockingham County","New Hampshire",461400,267.8,Very Expensive
53037,"Kittitas County","Washington",459900,266.9,Very Expensive
51179,"Stafford County","Virginia",458800,266.3,Very Expensive
08001,"Adams County","Colorado",458400,266.0,Very Expensive
12109,"St. Johns County","Florida",457600,265.6,Very Expensive
53007,"Chelan County","Washington",454900,264.0,Very Expensive
35028,"Los Alamos County","New Mexico",452500,262.6,Very Expensive
53067,"Thurston County","Washington",451500,262.0,Very Expensive
08007,"Archuleta County","Colorado",451400,262.0,Very Expensive
45019,"Charleston County","South Carolina",450800,261.6,Very Expensive
24003,"Anne Arundel County","Maryland",450300,261.3,Very Expensive
51540,"Charlottesville city","Virginia",448400,260.2,Very Expensive
36079,"Putnam County","New York",448000,260.0,Very Expensive
48085,"Collin County","Texas",447600,259.8,Very Expensive
08119,"Teller County","Colorado",445000,258.3,Very Expensive
08123,"Weld County","Colorado",444500,258.0,Very Expensive
41071,"Yamhill County","Oregon",442700,256.9,Very Expensive
02220,"Sitka City and Borough","Alaska",442100,256.6,Very Expensive
06009,"Calaveras County","California",441800,256.4,Very Expensive
24035,"Queen Anne's County","Maryland",441800,256.4,Very Expensive
30057,"Madison County","Montana",440500,255.7,Very Expensive
24009,"Calvert County","Maryland",440200,255.5,Very Expensive
34031,"Passaic County","New Jersey",439400,255.0,Very Expensive
34023,"Middlesex County","New Jersey",439300,255.0,Very Expensive
08053,"Hinsdale County","Colorado",438800,254.7,Very Expensive
41007,"Clatsop County","Oregon",437800,254.1,Very Expensive
24021,"Frederick County","Maryland",437700,254.0,Very Expensive
30081,"Ravalli County","Montana",435000,252.5,Very Expensive
51683,"Manassas city","Virginia",434700,252.3,Very Expensive
16017,"Bonner County","Idaho",433400,251.5,Very Expensive
02110,"Juneau City and Borough","Alaska",432500,251.0,Very Expensive
48171,"Gillespie County","Texas",432300,250.9,Very Expensive
13121,"Fulton County","Georgia",431200,250.3,Very Expensive
08041,"El Paso County","Colorado",431000,250.1,Very Expensive
02230,"Skagway Municipality","Alaska",430000,249.6,Very Expensive
30067,"Park County","Montana",429700,249.4,Very Expensive
37135,"Orange County","North Carolina",428500,248.7,Very Expensive
27019,"Carver County","Minnesota",426900,247.8,Very Expensive
32510,"Carson City","Nevada",426700,247.6,Very Expensive
06099,"Stanislaus County","California",426600,247.6,Very Expensive
12086,"Miami-Dade County","Florida",425400,246.9,Very Expensive
37055,"Dare County","North Carolina",425400,246.9,Very Expensive
13219,"Oconee County","Georgia",425100,246.7,Very Expensive
16015,"Boise County","Idaho",424100,246.1,Very Expensive
41013,"Crook County","Oregon",423300,245.7,Very Expensive
30063,"Missoula County","Montana",423100,245.6,Very Expensive
06005,"Amador County","California",422800,245.4,Very Expensive
37183,"Wake County","North Carolina",422800,245.4,Very Expensive
25005,"Bristol County","Massachusetts",421800,244.8,Very Expensive
42017,"Bucks County","Pennsylvania",421700,244.7,Very Expensive
39041,"Delaware County","Ohio",419500,243.5,Very Expensive
41053,"Polk County","Oregon",419500,243.5,Very Expensive
51095,"James City County","Virginia",419200,243.3,Very Expensive
02016,"Aleutians West Census Area","Alaska",419100,243.2,Very Expensive
06023,"Humboldt County","California",418800,243.1,Very Expensive
35049,"Santa Fe County","New Mexico",416900,242.0,Very Expensive
04013,"Maricopa County","Arizona",414700,240.7,Very Expensive
48491,"Williamson County","Texas",414600,240.6,Very Expensive
04005,"Coconino County","Arizona",413200,239.8,Very Expensive
08079,"Mineral County","Colorado",413000,239.7,Very Expensive
23005,"Cumberland County","Maine",411400,238.8,Very Expensive
51199,"York County","Virginia",411200,238.7,Very Expensive
42091,"Montgomery County","Pennsylvania",409900,237.9,Very Expensive
06007,"Butte County","California",408700,237.2,Very Expensive
41057,"Tillamook County","Oregon",408600,237.1,Very Expensive
30043,"Jefferson County","Montana",408000,236.8,Very Expensive
45013,"Beaufort County","South Carolina",407600,236.6,Very Expensive
12099,"Palm Beach County","Florida",407300,236.4,Very Expensive
08111,"San Juan County","Colorado",406900,236.2,Very Expensive
26089,"Leelanau County","Michigan",406900,236.2,Very Expensive
24013,"Carroll County","Maryland",406400,235.9,Very Expensive
06109,"Tuolumne County","California",406200,235.8,Very Expensive
13113,"Fayette County","Georgia",405600,235.4,Very Expensive
50007,"Chittenden County","Vermont",404500,234.8,Very Expensive
24033,"Prince George's County","Maryland",404300,234.6,Very Expensive
48121,"Denton County","Texas",403400,234.1,Very Expensive
51735,"Poquoson city","Virginia",403000,233.9,Very Expensive
53017,"Douglas County","Washington",402900,233.8,Very Expensive
24017,"Charles County","Maryland",402300,233.5,Very Expensive
08065,"Lake County","Colorado",401300,232.9,Very Expensive
27163,"Washington County","Minnesota",400900,232.7,Very Expensive
32003,"Clark County","Nevada",400800,232.6,Very Expensive
41029,"Jackson County","Oregon",400200,232.3,Very Expensive
06101,"Sutter County","California",399400,231.8,Very Expensive
48091,"Comal County","Texas",398800,231.5,Very Expensive
24041,"Talbot County","Maryland",398300,231.2,Very Expensive
37037,"Chatham County","North Carolina",397800,230.9,Very Expensive
09120,"Greater Bridgeport Planning Region","Connecticut",397000,230.4,Very Expensive
47189,"Wilson County","Tennessee",397000,230.4,Very Expensive
48031,"Blanco County","Texas",396200,229.9,Very Expensive
51099,"King George County","Virginia",395900,229.8,Very Expensive
41039,"Lane County","Oregon",395800,229.7,Very Expensive
34009,"Cape May County","New Jersey",395000,229.3,Very Expensive
27139,"Scott County","Minnesota",393500,228.4,Very Expensive
51830,"Williamsburg city","Virginia",393200,228.2,Very Expensive
32029,"Storey County","Nevada",393100,228.1,Very Expensive
04025,"Yavapai County","Arizona",392900,228.0,Very Expensive
49005,"Cache County","Utah",392800,228.0,Very Expensive
49045,"Tooele County","Utah",391300,227.1,Very Expensive
24037,"St. Mary's County","Maryland",390900,226.9,Very Expensive
25027,"Worcester County","Massachusetts",390700,226.8,Very Expensive
41009,"Columbia County","Oregon",390600,226.7,Very Expensive
13057,"Cherokee County","Georgia",389800,226.2,Very Expensive
49057,"Weber County","Utah",389200,225.9,Very Expensive
53039,"Klickitat County","Washington",388700,225.6,Very Expensive
41041,"Lincoln County","Oregon",387700,225.0,Very Expensive
47037,"Davidson County","Tennessee",386600,224.4,Very Expensive
12085,"Martin County","Florida",386500,224.3,Very Expensive
51047,"Culpeper County","Virginia",386400,224.3,Very Expensive
48397,"Rockwall County","Texas",386000,224.0,Very Expensive
53009,"Clallam County","Washington",385600,223.8,Very Expensive
33011,"Hillsborough County","New Hampshire",385500,223.7,Very Expensive
41047,"Marion County","Oregon",383300,222.5,Very Expensive
41033,"Josephine County","Oregon",383100,222.3,Very Expensive
02150,"Kodiak Island Borough","Alaska",382700,222.1,Very Expensive
51145,"Powhatan County","Virginia",381300,221.3,Very Expensive
51685,"Manassas Park city","Virginia",381200,221.2,Very Expensive
12011,"Broward County","Florida",380400,220.8,Very Expensive
06115,"Yuba County","California",380000,220.5,Very Expensive
30009,"Carbon County","Montana",379300,220.1,Very Expensive
18057,"Hamilton County","Indiana",379100,220.0,Very Expensive
02130,"Ketchikan Gateway Borough","Alaska",379000,220.0,Very Expensive
53045,"Mason County","Washington",377400,219.0,Very Expensive
27053,"Hennepin County","Minnesota",376500,218.5,Very Expensive
12131,"Walton County","Florida",376400,218.5,Very Expensive
02020,"Anchorage Municipality","Alaska",375900,218.2,Very Expensive
53071,"Walla Walla County","Washington",375600,218.0,Very Expensive
06011,"Colusa County","California",375100,217.7,Very Expensive
21185,"Oldham County","Kentucky",375000,217.6,Very Expensive
