FIPS,County,State,Total Votes,Democrat Votes,Republican Votes,Democrat %,Republican %,Winner
13027,"Brooks County",Georgia,7210,2629,4560,36.46,63.25,Republican
13029,"Bryan County",Georgia,24651,7779,16738,31.56,67.9,Republican
13031,"Bulloch County",Georgia,32657,11514,20985,35.26,64.26,Republican
13033,"Burke County",Georgia,11070,4994,6027,45.11,54.44,Republican
13035,"Butts County",Georgia,13019,3544,9424,27.22,72.39,Republican
13037,"Calhoun County",Georgia,2056,1153,900,56.08,43.77,Democrat
13039,"Camden County",Georgia,26393,8405,17819,31.85,67.51,Republican
13043,"Candler County",Georgia,4568,1196,3366,26.18,73.69,Republican
13045,"Carroll County",Georgia,60494,17634,42536,29.15,70.31,Republican
13047,"Catoosa County",Georgia,35038,7704,27150,21.99,77.49,Republican
13049,"Charlton County",Georgia,4628,1007,3607,21.76,77.94,Republican
13051,"Chatham County",Georgia,141109,82758,57336,58.65,40.63,Democrat
13053,"Chattahoochee County",Georgia,1694,703,982,41.5,57.97,Republican
13055,"Chattooga County",Georgia,10706,1896,8769,17.71,81.91,Republican
13057,"Cherokee County",Georgia,162281,48838,112142,30.09,69.1,Republican
13059,"Clarke County",Georgia,52887,36297,16049,68.63,30.35,Democrat
13061,"Clay County",Georgia,1442,771,663,53.47,45.98,Democrat
13063,"Clayton County",Georgia,111729,94203,16877,84.31,15.11,Democrat
13065,"Clinch County",Georgia,2908,702,2201,24.14,75.69,Republican
13067,"Cobb County",Georgia,401369,228404,168679,56.91,42.03,Democrat
13069,"Coffee County",Georgia,15715,4295,11388,27.33,72.47,Republican
13071,"Colquitt County",Georgia,16611,4114,12451,24.77,74.96,Republican
13073,"Columbia County",Georgia,85920,31624,53657,36.81,62.45,Republican
13075,"Cook County",Georgia,7357,1956,5374,26.59,73.05,Republican
13077,"Coweta County",Georgia,85916,28111,57204,32.72,66.58,Republican
13079,"Crawford County",Georgia,6340,1582,4742,24.95,74.79,Republican
13081,"Crisp County",Georgia,8116,2993,5099,36.88,62.83,Republican
13083,"Dade County",Georgia,8200,1343,6804,16.38,82.98,Republican
13085,"Dawson County",Georgia,19561,3350,16115,17.13,82.38,Republican
13087,"Decatur County",Georgia,11549,4372,7140,37.86,61.82,Republican
13089,"DeKalb County",Georgia,366008,299630,62622,81.86,17.11,Democrat
13091,"Dodge County",Georgia,8350,2081,6249,24.92,74.84,Republican
13093,"Dooly County",Georgia,4177,1921,2243,45.99,53.7,Republican
13095,"Dougherty County",Georgia,33850,23831,9904,70.4,29.26,Democrat
13097,"Douglas County",Georgia,70721,46240,23996,65.38,33.93,Democrat
13099,"Early County",Georgia,4879,2158,2718,44.23,55.71,Republican
13101,"Echols County",Georgia,1438,127,1307,8.83,90.89,Republican
13103,"Effingham County",Georgia,36244,9144,26943,25.23,74.34,Republican
13105,"Elbert County",Georgia,9589,2700,6860,28.16,71.54,Republican
13107,"Emanuel County",Georgia,9619,2673,6919,27.79,71.93,Republican
13109,"Evans County",Georgia,4244,1214,3011,28.61,70.95,Republican
13111,"Fannin County",Georgia,16096,2807,13232,17.44,82.21,Republican
13113,"Fayette County",Georgia,74633,35822,38177,48,51.15,Republican
13115,"Floyd County",Georgia,44738,12862,31631,28.75,70.7,Republican
13117,"Forsyth County",Georgia,138249,45509,91281,32.92,66.03,Republican
13119,"Franklin County",Georgia,12140,1647,10459,13.57,86.15,Republican
13121,"Fulton County",Georgia,535238,384752,144655,71.88,27.03,Democrat
13123,"Gilmer County",Georgia,18481,3413,14976,18.47,81.03,Republican
13125,"Glascock County",Georgia,1670,133,1534,7.96,91.86,Republican
13127,"Glynn County",Georgia,43912,16144,27558,36.76,62.76,Republican
13129,"Gordon County",Georgia,27606,4982,22495,18.05,81.49,Republican
13131,"Grady County",Georgia,10718,3290,7385,30.7,68.9,Republican
13133,"Greene County",Georgia,12786,4514,8215,35.3,64.25,Republican
13135,"Gwinnett County",Georgia,420681,242507,173041,57.65,41.13,Democrat
13137,"Habersham County",Georgia,23280,4036,19142,17.34,82.23,Republican
13139,"Hall County",Georgia,101973,28347,72991,27.8,71.58,Republican
13141,"Hancock County",Georgia,4240,2864,1364,67.55,32.17,Democrat
13143,"Haralson County",Georgia,16364,2065,14239,12.62,87.01,Republican
13145,"Harris County",Georgia,22353,5976,16283,26.73,72.84,Republican
13147,"Hart County",Georgia,14331,3210,11064,22.4,77.2,Republican
13149,"Heard County",Georgia,6210,859,5335,13.83,85.91,Republican
13151,"Henry County",Georgia,129034,83253,44982,64.52,34.86,Democrat
13153,"Houston County",Georgia,81514,35907,45090,44.05,55.32,Republican
13155,"Irwin County",Georgia,4342,986,3340,22.71,76.92,Republican
13157,"Jackson County",Georgia,47243,10472,36497,22.17,77.25,Republican
13159,"Jasper County",Georgia,9118,1881,7203,20.63,79,Republican
13161,"Jeff Davis County",Georgia,5872,924,4935,15.74,84.04,Republican
13163,"Jefferson County",Georgia,7463,3674,3765,49.23,50.45,Republican
13165,"Jenkins County",Georgia,3409,1179,2217,34.58,65.03,Republican
13167,"Johnson County",Georgia,3984,1066,2913,26.76,73.12,Republican
13169,"Jones County",Georgia,16092,4959,11079,30.82,68.85,Republican
13171,"Lamar County",Georgia,10412,2795,7575,26.84,72.75,Republican
13173,"Lanier County",Georgia,3736,995,2726,26.63,72.97,Republican
13175,"Laurens County",Georgia,23352,7820,15460,33.49,66.2,Republican
13177,"Lee County",Georgia,17683,4957,12655,28.03,71.57,Republican
13179,"Liberty County",Georgia,23028,13459,9441,58.45,41,Democrat
13181,"Lincoln County",Georgia,4931,1351,3559,27.4,72.18,Republican
13183,"Long County",Georgia,7056,2476,4557,35.09,64.58,Republican
13185,"Lowndes County",Georgia,47795,19487,28081,40.77,58.75,Republican
13187,"Lumpkin County",Georgia,17808,3356,14339,18.85,80.52,Republican
13189,"McDuffie County",Georgia,10537,3937,6562,37.36,62.28,Republican
13191,"McIntosh County",Georgia,7408,2628,4747,35.48,64.08,Republican
13193,"Macon County",Georgia,4686,2755,1916,58.79,40.89,Democrat
13195,"Madison County",Georgia,16787,3753,12951,22.36,77.15,Republican
13197,"Marion County",Georgia,3621,1253,2348,34.6,64.84,Republican
13199,"Meriwether County",Georgia,11788,4373,7375,37.1,62.56,Republican
13201,"Miller County",Georgia,2724,670,2045,24.6,75.07,Republican
13205,"Mitchell County",Georgia,8877,3701,5150,41.69,58.02,Republican
13207,"Monroe County",Georgia,17704,4689,12954,26.49,73.17,Republican
13209,"Montgomery County",Georgia,3973,927,3033,23.33,76.34,Republican
13211,"Morgan County",Georgia,13181,3533,9589,26.8,72.75,Republican
13213,"Murray County",Georgia,17468,2459,14965,14.08,85.67,Republican
13215,"Muscogee County",Georgia,80491,49413,30616,61.39,38.04,Democrat
13217,"Newton County",Georgia,59051,33839,24893,57.3,42.16,Democrat
13219,"Oconee County",Georgia,27287,8620,18424,31.59,67.52,Republican
13221,"Oglethorpe County",Georgia,8822,2515,6255,28.51,70.9,Republican
13223,"Paulding County",Georgia,95196,35802,58769,37.61,61.73,Republican
13225,"Peach County",Georgia,13454,6293,7104,46.77,52.8,Republican
13227,"Pickens County",Georgia,20915,3522,17281,16.84,82.62,Republican
13229,"Pierce County",Georgia,9761,1089,8655,11.16,88.67,Republican
13231,"Pike County",Georgia,12549,1648,10864,13.13,86.57,Republican
13233,"Polk County",Georgia,19171,3749,15352,19.56,80.08,Republican
13235,"Pulaski County",Georgia,4336,1281,3036,29.54,70.02,Republican
13237,"Putnam County",Georgia,12877,3696,9136,28.7,70.95,Republican
13239,"Quitman County",Georgia,1140,480,656,42.11,57.54,Republican
13241,"Rabun County",Georgia,10423,2222,8151,21.32,78.2,Republican
13243,"Randolph County",Georgia,2990,1601,1373,53.55,45.92,Democrat
13245,"Richmond County",Georgia,83578,56657,26472,67.79,31.67,Democrat
13247,"Rockdale County",Georgia,45160,33165,11711,73.44,25.93,Democrat
13249,"Schley County",Georgia,2428,453,1970,18.66,81.14,Republican
13251,"Screven County",Georgia,6920,2581,4325,37.3,62.5,Republican
13253,"Seminole County",Georgia,4007,1191,2811,29.72,70.15,Republican
13255,"Spalding County",Georgia,33038,13679,19184,41.4,58.07,Republican
13257,"Stephens County",Georgia,13099,2404,10632,18.35,81.17,Republican
13259,"Stewart County",Georgia,2028,1177,847,58.04,41.77,Democrat
13261,"Sumter County",Georgia,12049,6136,5869,50.93,48.71,Democrat
13263,"Talbot County",Georgia,3379,1888,1483,55.87,43.89,Democrat
13265,"Taliaferro County",Georgia,884,507,375,57.35,42.42,Democrat
13267,"Tattnall County",Georgia,8512,1967,6515,23.11,76.54,Republican
13269,"Taylor County",Georgia,3982,1366,2600,34.3,65.29,Republican
13271,"Telfair County",Georgia,4214,1274,2930,30.23,69.53,Republican
13273,"Terrell County",Georgia,4341,2253,2075,51.9,47.8,Democrat
13275,"Thomas County",Georgia,22080,8347,13670,37.8,61.91,Republican
13277,"Tift County",Georgia,16989,5438,11496,32.01,67.67,Republican
13279,"Toombs County",Georgia,10912,2674,8208,24.51,75.22,Republican
13281,"Towns County",Georgia,8838,1649,7155,18.66,80.96,Republican
13283,"Treutlen County",Georgia,3121,864,2250,27.68,72.09,Republican
13285,"Troup County",Georgia,31304,11757,19392,37.56,61.95,Republican
13287,"Turner County",Georgia,3833,1365,2457,35.61,64.1,Republican
13289,"Twiggs County",Georgia,4456,1895,2549,42.53,57.2,Republican
13291,"Union County",Georgia,17880,3309,14477,18.51,80.97,Republican
13293,"Upson County",Georgia,13662,4098,9528,30,69.74,Republican
13295,"Walker County",Georgia,32086,6436,25462,20.06,79.36,Republican
13297,"Walton County",Georgia,58376,15605,42407,26.73,72.64,Republican
13299,"Ware County",Georgia,14392,4068,10279,28.27,71.42,Republican
13301,"Warren County",Georgia,2592,1354,1232,52.24,47.53,Democrat
13303,"Washington County",Georgia,9493,4643,4824,48.91,50.82,Republican
13305,"Wayne County",Georgia,13561,2708,10811,19.97,79.72,Republican
13307,"Webster County",Georgia,1336,544,790,40.72,59.13,Republican
13309,"Wheeler County",Georgia,2276,622,1648,27.33,72.41,Republican
13311,"White County",Georgia,16825,2609,14136,15.51,84.02,Republican
13313,"Whitfield County",Georgia,39828,10953,28655,27.5,71.95,Republican
13315,"Wilcox County",Georgia,3347,847,2493,25.31,74.48,Republican
13317,"Wilkes County",Georgia,5098,2112,2971,41.43,58.28,Republican
13319,"Wilkinson County",Georgia,4908,2012,2888,40.99,58.84,Republican
13321,"Worth County",Georgia,9309,2300,6991,24.71,75.1,Republican
15001,"Hawaii County",Hawaii,82823,52163,28748,62.98,34.71,Democrat
15003,"Honolulu County",Hawaii,340921,204301,130489,59.93,38.28,Democrat
15007,"Kauai County",Hawaii,30064,17675,11803,58.79,39.26,Democrat
15009,"Maui County",Hawaii,62893,38905,22621,61.86,35.97,Democrat
16001,"Ada County",Idaho,267340,116116,143759,43.43,53.77,Republican
16003,"Adams County",Idaho,2679,577,2037,21.54,76.04,Republican
16005,"Bannock County",Idaho,39971,14306,24329,35.79,60.87,Republican
16007,"Bear Lake County",Idaho,3325,346,2908,10.41,87.46,Republican
16009,"Benewah County",Idaho,5144,935,4094,18.18,79.59,Republican
16011,"Bingham County",Idaho,20643,3878,16188,18.79,78.42,Republican
16013,"Blaine County",Idaho,13087,8424,4281,64.37,32.71,Democrat
16015,"Boise County",Idaho,4910,1065,3727,21.69,75.91,Republican
16017,"Bonner County",Idaho,29698,7650,21352,25.76,71.9,Republican
16019,"Bonneville County",Idaho,56419,14458,40053,25.63,70.99,Republican
16021,"Boundary County",Idaho,7110,1145,5794,16.1,81.49,Republican
16023,"Butte County",Idaho,1494,185,1268,12.38,84.87,Republican
16025,"Camas County",Idaho,728,153,547,21.02,75.14,Republican
16027,"Canyon County",Idaho,101001,25669,72755,25.41,72.03,Republican
16029,"Caribou County",Idaho,3456,445,2906,12.88,84.09,Republican
16031,"Cassia County",Idaho,9557,1359,7959,14.22,83.28,Republican
16033,"Clark County",Idaho,333,50,280,15.02,84.08,Republican
16035,"Clearwater County",Idaho,4418,774,3550,17.52,80.35,Republican
16037,"Custer County",Idaho,2650,586,1998,22.11,75.4,Republican
16039,"Elmore County",Idaho,10672,2611,7791,24.47,73,Republican
16041,"Franklin County",Idaho,7184,703,6279,9.79,87.4,Republican
16043,"Fremont County",Idaho,6803,954,5645,14.02,82.98,Republican
16045,"Gem County",Idaho,10620,1699,8707,16,81.99,Republican
16047,"Gooding County",Idaho,5918,1100,4676,18.59,79.01,Republican
16049,"Idaho County",Idaho,9858,1460,8148,14.81,82.65,Republican
16051,"Jefferson County",Idaho,15819,1891,13481,11.95,85.22,Republican
16053,"Jerome County",Idaho,7945,1742,6012,21.93,75.67,Republican
16055,"Kootenai County",Idaho,96340,22113,72059,22.95,74.8,Republican
16057,"Latah County",Idaho,20440,9039,10669,44.22,52.2,Republican
16059,"Lemhi County",Idaho,4873,1038,3716,21.3,76.26,Republican
16061,"Lewis County",Idaho,1843,305,1503,16.55,81.55,Republican
16063,"Lincoln County",Idaho,1917,392,1466,20.45,76.47,Republican
16065,"Madison County",Idaho,17358,2767,13925,15.94,80.22,Republican
16067,"Minidoka County",Idaho,7947,1373,6401,17.28,80.55,Republican
16069,"Nez Perce County",Idaho,20132,5928,13707,29.45,68.09,Republican
16071,"Oneida County",Idaho,2457,253,2119,10.3,86.24,Republican
16073,"Owyhee County",Idaho,4950,756,4101,15.27,82.85,Republican
16075,"Payette County",Idaho,11760,2064,9458,17.55,80.43,Republican
16077,"Power County",Idaho,3019,785,2146,26,71.08,Republican
16079,"Shoshone County",Idaho,6130,1472,4500,24.01,73.41,Republican
16081,"Teton County",Idaho,6698,3463,3005,51.7,44.86,Democrat
16083,"Twin Falls County",Idaho,37373,9064,27304,24.25,73.06,Republican
16085,"Valley County",Idaho,7240,2869,4214,39.63,58.2,Republican
16087,"Washington County",Idaho,5553,1010,4429,18.19,79.76,Republican
17001,"Adams County",Illinois,31744,8111,23161,25.55,72.96,Republican
17003,"Alexander County",Illinois,2271,904,1341,39.81,59.05,Republican
17005,"Bond County",Illinois,7981,2117,5692,26.53,71.32,Republican
17007,"Boone County",Illinois,24216,10159,13673,41.95,56.46,Republican
17009,"Brown County",Illinois,2455,467,1938,19.02,78.94,Republican
17011,"Bureau County",Illinois,15992,5900,9784,36.89,61.18,Republican
17013,"Calhoun County",Illinois,2680,560,2059,20.9,76.83,Republican
17015,"Carroll County",Illinois,7836,2600,5082,33.18,64.85,Republican
17017,"Cass County",Illinois,5241,1438,3712,27.44,70.83,Republican
17019,"Champaign County",Illinois,88627,54314,32965,61.28,37.2,Democrat
17021,"Christian County",Illinois,15534,4026,11278,25.92,72.6,Republican
17023,"Clark County",Illinois,8203,1927,6130,23.49,74.73,Republican
17025,"Clay County",Illinois,6766,1054,5610,15.58,82.91,Republican
17027,"Clinton County",Illinois,19215,4447,14407,23.14,74.98,Republican
17029,"Coles County",Illinois,21469,7495,13606,34.91,63.38,Republican
17031,"Cook County",Illinois,2056800,1447821,583852,70.39,28.39,Democrat
17033,"Crawford County",Illinois,8927,2048,6727,22.94,75.36,Republican
17035,"Cumberland County",Illinois,5768,1059,4627,18.36,80.22,Republican
17037,"DeKalb County",Illinois,47186,23648,22716,50.12,48.14,Democrat
17039,"De Witt County",Illinois,7736,2058,5529,26.6,71.47,Republican
17041,"Douglas County",Illinois,8404,2198,6076,26.15,72.3,Republican
