FIPS,State,State Code,County,Metro Area,Year,Median Rent,Efficiency,1BR,2BR,3BR,4BR,Entity ID
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502130455"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501730700"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501731085"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501731540"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502331645"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500932310"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502333220"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501735215"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501735425"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501735950"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500937490"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500937560"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501737875"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500937995"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500938400"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501738715"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502338855"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501739625"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502139765"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501739835"
